,C3,C4,EMT,C10,ciliated,P-value,Correlation,RMSE
HH-026,0.094591596,0.633379557,0.094865885,0.177162962,0,0.168,0.246130808,1.039389159
HH-027,0.026664195,0.719408792,0,0.253927013,0,0.027,0.455700266,0.909408046
HH-028,0.650863176,0,0,0.349136824,0,0.6,0.022840999,1.2646376
HH-029,0,0,0.218911702,0.781088298,0,0.695,-0.009206242,1.132948259
HH-030,0.61253459,0.341620635,0.045844775,0,0,0.061,0.377491719,1.031960067
HH-032,0.349038116,0.193038954,0.45792293,0,0,0.252,0.188126224,1.113450612
HH-033,0.309424922,0.515630041,0.174945037,0,0,0.121,0.287533277,1.043243585
HH-034,0.556238235,0,0.19648399,0.247277775,0,0.541,0.041544774,1.211225377
HH-035,0,0.948572782,0,0.051427218,0,0.2,0.223756542,1.081417052
HH-036,0.695467564,0,0.304532436,0,0,0.276,0.175784955,1.173940633
HH-037,0.530721564,0,0,0.469278436,0,0.332,0.141156258,1.160170099
HH-038,0.328008322,0.671991678,0,0,0,0.29,0.16650058,1.155174591
HH-039,0.547255239,0.368444198,0,0,0.084300563,0.239,0.199237148,1.136775802
HH-040,0,0.611242854,0.035679175,0.353077971,0,0.478,0.068087508,1.124154368
HH-041,0.761517056,0,0.007018226,0.231464718,0,0,0.63505365,0.807359698
HH-042,0.178296645,0.591372286,0,0,0.230331068,0.273,0.176477954,1.09037
HH-043,0.421307346,0.428605501,0,0.150087153,0,0.212,0.216441639,1.114222976
HH-044,0.42025162,0.08244974,0.088827548,0,0.408471092,0.273,0.176751753,1.143680297
HH-045,0.257282207,0.235261965,0.036859624,0.102413343,0.36818286,0.252,0.187874881,1.097050273
HH-046,0.518787589,0,0,0.481212411,0,0.379,0.110534948,1.176975024
HH-047,0.185858921,0,0.40553136,0.408609718,0,0.156,0.254855126,1.020367706
HH-048,0.608966443,0.288516633,0.008560505,0,0.093956419,0.315,0.148836061,1.176940971
HH-049,0.240101303,0,0.451647539,0.308251158,0,0.388,0.103899973,1.122861072
HH-050,0,0.179612177,0.820387823,0,0,0.053,0.393005367,1.004634032
HH-051,0,0.386897102,0.024993511,0.560867846,0.027241542,0.673,-0.001102602,1.137563934
