Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
X44341,0,0.01160307779531688,0.0014172594148557725,0.07557130316124362,0,0.09584737359664336,0.20376395598688418,0,0,0.12039014244588313,0.011272039415773254,0,0,0.07402954017592402,0.10076146284004146,0.12074437771812613,0,0.04745099777305086,0.10385427459521501,0,0.009361164396430338,0.023933030684611917,0.003,0.322591272498277,0.9511158339121372
X44306,0,0.1418570954021247,0,0,0.23220453818905384,0,0,0,0.3027281496101647,0,0.10449492135373739,0,0,0.13296392857182593,0,0,0,0.050366463832939926,0.03538490304015351,0,0,0,0.977,-0.0399,1.108314752897856
X44303,0,0.1778968696869718,0,0.1524725551700965,0,0,0.013801033365192953,0.11869450939589565,0,0.014809791359807763,0,0.09026036826975652,0,0.0672795395681021,0.06972684266813442,0.2022974328381323,0.008738694233917188,0.009461266006950467,0.041418336836854364,0,0.005044872128366033,0.028097888471821982,0.026,0.19937579364684588,1.000814713935607
X44288,0,0.07284986037636013,0.005684756510827015,0.01174079453515635,0.18982422304797375,0.1606669402636131,0.037523960785123475,0,0,0.21689345230099674,0,0,0.003929288291127958,0,0.003861047349285404,0.15109369796650682,0,0.03623157061363744,0.10970040795939175,0,0,0,0.003,0.3015524367537981,0.9633369442038903
X44286,0,0.3055955688941799,0,0,0.07631139419543177,0,0,0,0.31727946109432553,0,0.013432932147186393,0,0,0,0,0,0,0,0,0.2873806436688764,0,0,1.0,-0.0816,1.155886932592072
X44285,0.0051972803024803406,0.0579672677384922,0,0.13821465609878753,0,0.02327461689734209,0.11415636095160163,0,0,0.07246877636065945,0,0.05265822066619632,0.008430486537115905,0,0.11556200139941694,0.26336018143230805,0,0.009350450125510591,0.11389977447483512,0,0,0.025459927015253816,0.002,0.39611400819262843,0.9178858364940202
X44242,0,0.06336306744064717,0,0,0.1224625104804561,0.15483328390708292,0,0,0.46177537375770955,0,0,0,0,0,0,0,0.06702932763696143,0,0,0.10943220194582406,0.021104234831318743,0,0.998,-0.0645,1.137063107869548
X44234,0,0.013207110849226116,0.020786420904031263,0.070549908224075,0.0674922758354059,0,0,0.03500499111192699,0,0.019312572922599785,0,0.021958020260528538,0.10990687769601389,0.08668376873937514,0.06782495352237464,0.12095658830351895,0.16326755365737466,0.015821568686164012,0.015395735237959843,0.06988925181443267,0.0945137778004564,0.007428624434536226,0.003,0.3213248692804728,0.9502197436188325
X44219,0.05593214498307398,0,0,0,0.11873954224688862,0,0,0,0.04418024179849891,0,0.13101429793269057,0,0.23512034583532215,0.21931763018151462,0,0,0.060895441039211504,0,0,0.13480035598279974,0,0,1.0,-0.106,1.143412635017231
X44196,0,0.24552664021960663,0,0,0.3351436789310227,0,0,0,0.17078458901988036,0,0,0.16070552153529577,0,0.018504838979031244,0,0,0,0,0.06933473131516342,0,0,0,1.0,-0.1259,1.1661370225873329
X44192,0.07969433940159729,0.026355672778524505,0,0,0.2818246736393954,0,0,0.23425436084787044,0,0,0.1169611822183203,0.11287037788270093,0,0.07236633057996503,0,0,0,0,0.07567306265162618,0,0,0,1.0,-0.1462,1.1924456810383588
X44189,0,0.04644310084371614,0.2871309103371508,0.13419863827934153,0,0,0.10178357625962785,0.07705460696637491,0,0.01486696122709751,0,0.017244665651586905,0,0,0.057365719829839686,0.10991420477945943,0,0.027659468870174148,0.11798500340062737,0,0,0.008353143555003682,0.003,0.3202717520273652,0.9549915689274695
X44186,0.0847313518886555,0,0.039533256275048084,0.20611100952946138,0,0.11711866214095078,0,0,0,0.043663433693059785,0,0.09144257978642717,0.055165864620445336,0,0,0.09384528573343996,0,0.03169585644548676,0,0.1591953289599909,0.07408965305769696,0.003407717869337331,0.063,0.15436714901996654,1.03739731779649
X44163,0,0.07286817460272474,0.0044436781181722545,0,0.012818150272298113,0.10648960559005233,0.13994121660157588,0.02728737633728552,0,0,0.10355511604280673,0.03089491231365987,0.04300139193975806,0.03845523735449594,0,0.09157721518186503,0,0.16780035980725266,0.12349400270475057,0,0,0.03737356313330228,0.003,0.31675958973307533,0.9507114057509833
X44110,0,0.009867827876756212,0,0.2711076085746384,0,0,0.24217505896720926,0,0.01896236752254271,0,0,0.10205825419263817,0.08568741904864832,0.07751521899947739,0.050016526094659376,0.05395336012227264,0.01768901423759186,0.018647957481843447,0,0.02947115788948462,0.019706280152823,0.0031419488394145217,0.002,0.3845041123719057,0.9263858338534506
X44102,0.22667640616052387,0,0.08812112097483311,0.00377130408790123,0.06018991142727592,0,0,0,0.2903889348521541,0,0.08805500130267178,0,0,0.1638387467840453,0,0,0,0,0,0.07895857441059467,0,0,1.0,-0.0828,1.1205413727395424
X440,0.013628198482767749,0,0.005423634727337284,0.13125037911063586,0,0.03463479352091576,0.026080507269126536,0.03343926596030239,0,0.3488194566633901,0,0.019610696424412107,0,0,0.02869426010841946,0.09205482443783529,0.15035473318080425,0,0,0.035940295930609864,0.02699780908582168,0.053071145097621585,0.002,0.3821828066226467,0.9344927625512337
