"","Differentiated","KRT17","EMT","Cell_cycle","Ciliated","P-value","Correlation","RMSE"
"TCGA-10-0936-01",0,0.501933102125406,0,0.382994649770207,0.115072248104387,0.035,0.420735360926598,0.907886494005133
"TCGA-25-2409-01",0.0155898568299652,0.506562497618571,0.163495594881613,0.314352050669851,0,0.094,0.302598280429167,0.979315877133749
"TCGA-30-1718-01",0,0,0.487185780811407,0.512814219188593,0,0.102,0.296375241894334,0.982442667993386
"TCGA-29-1711-01",0.0734543064812878,0.705443635948132,0.0556095953651817,0.165492462205399,0,0.128,0.267382709980514,1.02835187896036
"TCGA-61-2008-01",0.20480552631372,0.484570131770849,0.159054468455829,0.151569873459603,0,0.026,0.460512513991473,0.900774612273197
"TCGA-61-1740-01",0,0,0.288947625172286,0.711052374827714,0,0.143,0.243539256550523,1.00119057043922
"TCGA-29-1785-01",0.423984978134571,0,0,0.576015021865429,0,0.092,0.30508666051704,1.02642191600495
"TCGA-13-1506-01",0.0440849906636893,0.0617414628536713,0,0.894173546482639,0,0.026,0.460093866911692,0.897091936913065
"TCGA-29-1781-01",0,0.00461329968358621,0,0.995386700316414,0,0.419,0.0867693613413544,1.12534096639322
"TCGA-36-1570-01",0.149484408599287,0.455653816057958,0,0.368412247263351,0.0264495280794041,0.022,0.484641811400381,0.882726483226571
"TCGA-24-1930-01",0,0.938486377540412,0.0615136224595885,0,0,0.054,0.377867885989299,0.971858144850689
"TCGA-13-0799-01",0.208664978341598,0,0,0.791335021658402,0,0.015,0.507809213367611,0.869614131593681
"TCGA-30-1862-01",0.257834856748859,0.248881950800109,0.493283192451033,0,0,0.027,0.449772002432465,0.917450486702232
"TCGA-23-1114-01",0.757538663147169,0,0.242461336852831,0,0,0.287,0.150653628569683,1.18437606690324
"TCGA-25-1626-01",0,0,0.930493583161657,0.069506416838343,0,0.036,0.414702668352496,1.01340014005847
"TCGA-61-2097-01",0.226812737686956,0.628567013638167,0.144620248674877,0,0,0.107,0.292759346643147,1.02825081803795
"TCGA-24-1616-01",0,0.781000972137806,0,0.218999027862194,0,0.00700000000000001,0.560737516551204,0.833802864723352
"TCGA-23-1109-01",0,0,0.251764773048747,0.748235226951253,0,0.335,0.127241609687466,1.06089263366787
"TCGA-29-2427-01",0,0.846825564199112,0.0787404959461728,0.0744339398547154,0,0.02,0.489606567347577,0.885097981662968
"TCGA-29-1695-01",0,0.404129324758341,0.595870675241659,0,0,0.071,0.340323363949888,0.989060737481027
"TCGA-61-1737-01",0.116401654292535,0,0.421737791077769,0.461860554629696,0,0.211,0.196981434417764,1.03987091802536
"TCGA-29-2425-01",0.765892936996045,0,0.0359991240002782,0.198107939003677,0,0.092,0.305095535806832,1.08204944746037
"TCGA-09-1662-01",0.314977174748658,0.185641560414396,0.162136114965773,0.337245149871173,0,0.014,0.512384822587386,0.86293278494263
"TCGA-13-1512-01",0,0.185878162382248,0.106614142166209,0.707507695451544,0,0.366,0.108066365399099,1.07714121280291
"TCGA-29-1697-01",0.568812714095766,0,0,0.431187285904234,0,0.012,0.518736713422406,0.885815103410655
"TCGA-24-2024-01",0,0.0829022995712802,0.336258340945016,0.580839359483703,0,0.456,0.072961396489424,1.0830124740968
"TCGA-57-1583-01",0.295908097032899,0,0.270829786138424,0.433262116828678,0,0.244,0.173880283955537,1.06629533299286
"TCGA-24-1562-01",0.231524414235579,0.0294380426757068,0.577848659712083,0.161188883376631,0,0.027,0.45626367452081,0.910793425792192
"TCGA-57-1584-01",0,0.975546438859729,0,0,0.0244535611402713,0,0.654331427266672,0.76180626170488
"TCGA-13-1411-01",0.463764202114043,0.238082843418893,0.298152954467064,0,0,0.311,0.137853371554231,1.1406049614994
"TCGA-61-2088-01",0.88016093321062,0,0,0.11983906678938,0,0.086,0.31903980447073,1.10315767998691
"TCGA-25-1625-01",0.168997074146771,0.67146418665761,0.159538739195619,0,0,0.016,0.503893625969175,0.877513023587999
"TCGA-24-2288-01",0.183491214155247,0,0.351741508121728,0.464767277723025,0,0.05,0.38082293882118,0.936663091650033
"TCGA-25-1623-01",0.00348210764378188,0.274656913619106,0.721860978737113,0,0,0.055,0.370578816582693,0.991355622744824
"TCGA-25-1312-01",0.611462658109358,0,0.254445945204821,0.134091396685822,0,0.041,0.400854857232494,0.972302824931121
"TCGA-61-1725-01",0,0.107505802308259,0.393379965673102,0.499114232018639,0,0.178,0.219371644767302,1.01447528449148
"TCGA-25-2042-01",0,0.20316691524025,0.79683308475975,0,0,0.072,0.337944962966314,1.03477300040305
"TCGA-23-1026-01",0.0807189246066067,0.76709398389626,0.103407738108358,0,0.0487793533887746,0.188,0.212340129108706,1.05914179660252
"TCGA-29-1770-01",0.0745096735394464,0.234052832873344,0.313498403626059,0.377939089961151,0,0.181,0.216894717633964,1.0203683946448
"TCGA-09-2054-01",0,0,0.540097747031988,0.459902252968012,0,0.324,0.131550676727497,1.08111430837871
"TCGA-61-1919-01",0,0,0.490070997606592,0.509929002393408,0,0.292,0.148477939768003,1.06299402568505
"TCGA-61-1900-01",0.299936914925613,0,0.23817644303557,0.461886642038817,0,0.199,0.204869474439299,1.04951260690367
"TCGA-24-1558-01",0.518384136315339,0.000401754214840863,0.0655725223543886,0.415641587115432,0,0.00700000000000001,0.548652844432143,0.850971410560283
"TCGA-59-2354-01",0.230199610416164,0.441847681267823,0.327952708316013,0,0,0.186,0.214474678033265,1.06496122340457
"TCGA-09-2051-01",0,0.485920095745128,0.0843593623171099,0.429720541937762,0,0.014,0.512499005724636,0.85705367668606
"TCGA-09-1667-01",0.325013763358596,0.544580289446286,0.130405947195118,0,0,0.03,0.441474389810352,0.934279523920315
"TCGA-23-1809-01",0.425228321749389,0,0.0470470509604087,0.527724627290203,0,0.369,0.106696481613976,1.14203557455122
"TCGA-31-1956-01",0,0.227636251717471,0.333845741523212,0.438518006759317,0,0.297,0.145690214576859,1.04847406161824
"TCGA-13-0730-01",0,0,0.502588270170708,0.497411729829292,0,0.304,0.140714804520837,1.06911947365286
"TCGA-04-1519-01",0.997994360661102,0.0020056393388979,0,0,0,0.002,0.604284686482817,0.87393776520482
"TCGA-25-1870-01",0,0.895082416989914,0.104917583010086,0,0,0.04,0.403385632835678,0.948211604597107
"TCGA-29-1688-01",0,0.597084380142946,0.352735231474543,0,0.0501803883825109,0.038,0.411324746494807,0.918771271965363
"TCGA-61-2104-01",0.773257338585025,0.169347131013142,0.0573955304018322,0,0,0.005,0.583431160358865,0.86013258793668
"TCGA-13-0801-01",0,0.0599409437135277,0,0.940059056286472,0,0.368,0.1069673308872,1.10877354421012
"TCGA-24-1928-01",0.380578346261632,0,0.619421653738368,0,0,0.177,0.220330196451484,1.11088437126995
"TCGA-36-1569-01",0.167016660297936,0.30936029569927,0.523623044002794,0,0,0.093,0.302857192338969,1.01578005625276
"TCGA-25-1315-01",0.432711141067169,0,0.0102909663710511,0.55699789256178,0,0.217,0.191174402420156,1.09893073253604
"TCGA-24-1418-01",0.141247511620761,0,0.563192012836894,0.295560475542345,0,0.141,0.245600063103746,1.03758032349636
"TCGA-24-1428-01",0,0,0.172397031703545,0.827602968296455,0,0.253,0.169414261351116,1.0466052788766
"TCGA-23-2077-01",0.51850942869071,0.142754956492003,0.146001997001122,0.192733617816165,0,0.071,0.338569503455001,1.00859979549629
"TCGA-09-1669-01",0.372825531207944,0,0.224553112369273,0.402621356422783,0,0.362,0.110191582694372,1.11447346406628
"TCGA-24-1430-01",0.736058380166335,0.143035231585051,0.120906388248614,0,0,0.023,0.478677031174758,0.943695466464841
"TCGA-36-1581-01",0,0.372184363018233,0.0738443457867119,0.553971291195055,0,0.124,0.273370320201471,0.995263689336884
"TCGA-29-1776-01",0.117829026562156,0.0907058753335887,0.454210732052134,0.337254366052121,0,0.054,0.374661818158369,0.942434405993119
"TCGA-29-1696-01",0.0336367480305809,0.842787945433702,0,0,0.123575306535717,0.037,0.414055080416083,0.934238457383051
"TCGA-13-0913-01",0.0882293024737612,0,0.0337301781145047,0.797512914373011,0.0805276050387236,0.092,0.30460451856163,0.976210587633558
"TCGA-09-0364-01",0.320176612409905,0,0,0.679823387590095,0,0.542,0.0397336778875116,1.17408962612119
"TCGA-61-2111-01",0.0498883277158069,0,0.627404861996303,0.32270681028789,0,0.086,0.320869512083713,0.993994463639617
"TCGA-36-1571-01",0.221777199363964,0,0.0252075179417405,0.685565610515826,0.0674496721784699,0.092,0.30443564276,0.987176241499585
"TCGA-24-2020-01",0.0093991047035939,0,0,0.990600895296406,0,0.367,0.10736969198204,1.11460813430426
"TCGA-20-1687-01",0,0.785918570947034,0.214081429052966,0,0,0.03,0.440041101104889,0.91316533657007
"TCGA-24-2262-01",0.599686454031013,0,0.138166696169114,0.262146849799873,0,0.00600000000000001,0.577436943188038,0.83047929904513
"TCGA-24-1850-01",0,0,0.443677691450172,0.556322308549828,0,0.421,0.0852853266990555,1.08834079777076
"TCGA-25-1313-01",0.226799025069461,0.420076461256007,0.353124513674532,0,0,0.056,0.368148084314763,0.967161246459373
"TCGA-13-1489-02",0.299716616647265,0.0230421634329625,0,0.677241219919772,0,0.024,0.472637255785997,0.89913927316916
"TCGA-29-1694-01",0.143154654937048,0.700148837720286,0.156696507342666,0,0,0.0610000000000001,0.359825594629955,0.977422891158736
"TCGA-23-1027-01",0.240334921363917,0.254701532821528,0.135697112720117,0.369266433094438,0,0.03,0.441672015785567,0.908228594572864
"TCGA-59-2355-01",0.335343618418637,0.445189620468778,0.219466761112585,0,0,0.02,0.489738150804266,0.891776472282774
"TCGA-24-1604-01",0.600479641756274,0.304019419368834,0.0955009388748918,0,0,0.001,0.621882871307389,0.804700393208048
"TCGA-25-1319-01",0.00187607005427779,0.424282954153837,0.0722078761488769,0.501633099643008,0,0.024,0.478301323618905,0.878109174442988
"TCGA-24-1564-01",0.046070861769162,0.621768679190104,0.222463700451373,0.109696758589361,0,0.363,0.109211742124183,1.09891665222766
"TCGA-57-1994-01",0.886798014375473,0.113201985624527,0,0,0,0,0.647178748780742,0.814414640274219
"TCGA-04-1357-01",0,0.320718077965644,0.428987138364128,0.250294783670228,0,0.039,0.406035019102183,0.918516984246077
"TCGA-29-1778-01",0.557102441825439,0.333345633844356,0.109551924330205,0,0,0.031,0.435412208188567,0.960589614982282
"TCGA-13-0899-01",0.656951509576315,0.251641993352857,0.0914064970708279,0,0,0.114,0.283192307472163,1.08996039564524
"TCGA-24-2038-01",0.688403201213478,0,0.311596798786522,0,0,0.001,0.619797533296981,0.80087983800305
"TCGA-13-0800-01",1,0,0,0,0,0.129,0.263604525830177,1.18042412182063
"TCGA-25-2399-01",0.547242380012839,0.200445376859311,0.25231224312785,0,0,0.245,0.173027865240974,1.1324241067418
"TCGA-24-1548-01",0.647663743190857,0,0.0553230160822908,0.297013240726852,0,0.00700000000000001,0.552071495457806,0.861827963231914
"TCGA-59-A5PD-01",0.108581133404529,0,0.0740284186689945,0.817390447926476,0,0.017,0.499058678591449,0.866973637645579
"TCGA-25-2391-01",0.134074854812526,0.346006527624666,0,0.519918617562808,0,0.00800000000000001,0.542031570770959,0.843053609666553
"TCGA-29-2428-01",0.211016177958006,0.405423068133572,0,0.383560753908422,0,0.099,0.300685815889776,1.01142932739765
