Input Sample	B cells	CD8 T cells	CD4 T cells	NK cells	Monocytes	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA-24-1103-01	0.24809452543901395	0.03599323962164828	0.6263283023452966	0.006877328436439111	0.08270660415760203	0	0.13	0.0686954141220304	1.0424818952799946
TCGA-25-1871-01	0.06508270758464943	0	0.8804633605673339	0	0.05445393184801672	0	0.256	0.03888418411098976	1.0661662383198274
TCGA-23-1029-01	0.14743400348340502	0	0.49086573804323896	0.017989616919072835	0.34371064155428327	0	0.042	0.13272906511191987	1.0625337310711596
TCGA-25-1630-01	0.2132396015163384	0	0.2324498802511871	0.02197865547341743	0.489576337364681	0.04275552539437599	0.006	0.29448053353737097	1.042398696123545
TCGA-25-1634-01	0	0.014325219384067738	0.8224159536140108	0	0.1632588270019215	0	0.034	0.14506132146151454	1.0282266957379425
TCGA-61-1721-01	0.010840183906873005	0	0.4180919827708389	0.010569684012580818	0.5604981493097072	0	0.024	0.1730087142501857	1.144522952267425
TCGA-24-1413-01	0.4584563277516749	0	0.2753549597418388	0	0.26618871250648624	0	0.016	0.2057629201289333	1.027695136784894
TCGA-25-1323-01	0.00791739114737085	0	0.5884815099320344	0	0.4036010989205947	0	0.07	0.0927931895203692	1.10858775298505
TCGA-61-2110-01	0.23867313588687392	0	0.3633108645438377	0	0.3980159995692883	0	0.024	0.1699007081274818	1.0699828687227828
TCGA-61-2109-01	0.3802786287137384	0	0.26433531871401394	0.023433366701495584	0.331952685870752	0	0.01	0.24575133664271584	1.0162116486810242
TCGA-04-1514-01	0	0	0.8761975985295858	0	0.12380240147041427	0	0.108	0.07685646608860486	1.0551365999223756
TCGA-VG-A8LO-01	0.0034406496883454293	0.5008347542790409	0.34650108968126836	0	0.1443384295933282	0.004885076758017065	0.064	0.10254245204818181	1.0344407022846045
TCGA-24-1549-01	0.3627791452645961	0.1477533597420558	0.1221656194269883	0.1710021702677683	0.19629970529859148	0	0	0.3354532284825313	0.9469983022256544
TCGA-29-1784-01	0.1825942337972763	0.1613155624345786	0.031278627152511694	0	0.6248115766156335	0	0	0.40932228147218225	1.0156964501016017
TCGA-13-A5FT-01	0.3330726535492881	0.06048754190215179	0.3523961485305674	0	0.2540436560179927	0	0.034	0.1521699664098285	1.036034363629766
TCGA-61-1736-01	0.1954934529023238	0	0.34962309015449056	0.025570658745853934	0.4293127981973317	0	0.016	0.20809019629589035	1.0585706339066199
TCGA-OY-A56P-01	0.18575337834042013	0	0.7454470252712141	0	0.06879959638836577	0	0.272	0.03598737815974113	1.0567864890279868
TCGA-29-1690-01	0.11037090036381168	0	0.0955584691069796	0.0002	0.7938830834103665	0	0	0.4740789891281138	1.0642373784641341
TCGA-29-1761-01	0.18670723617536114	0.3040896169574807	0	0	0.5092031468671582	0	0.004	0.3002811466142129	1.0364592958753414
TCGA-24-2281-01	0.09478952398666432	0.1407124744259194	0.0597685766412268	0.002215152226614817	0.7025142727195746	0	0	0.4173655724553546	1.0507465478306324
TCGA-61-1738-01	0.21481497949363318	0	0.19543473082573715	0	0.5897502896806297	0	0.02	0.18693652593219	1.1667995089932128
TCGA-25-2400-01	0.344539891345414	0	0.24360637870887392	0	0.4118537299457121	0	0.012	0.23654996160418115	1.0478500993554674
TCGA-61-2098-01	0	0	0.659651477374769	0.018762462596862584	0.3215860600283684	0	0.308	0.030915974621011106	1.1055213043584433
TCGA-59-2363-01	0.04985766461374161	0	0.6137329408778511	0.005983968434014961	0.33042542607439235	0	0.06	0.10539019991545978	1.0722005128628906
TCGA-24-1567-01	0	0.5984417244220349	0.16219705288123534	0	0.2393612226967297	0	0.198	0.04998157882364623	1.0658469444131347
TCGA-61-1918-01	0.32794948867895446	0.0697427000377755	0.10200887117750686	0.021824282272531567	0.4784746578332316	0	0	0.3725089726541259	0.9847782932332741
TCGA-36-1574-01	0.0002	0	0.3832075283188647	0.019248016139408016	0.597359478617809	0	0.014	0.2108537538142857	1.141716458972831
